timestamp,x_pos,y_pos,current_distance,error,derivative,control_speed
1752725933.0020335,1.18793,0.03938,1.1885825462709771,0.8114174537290229,-0.8076994863456033,1.0
1752725933.0328403,1.21996,0.04056,1.2206340627722954,0.7793659372277046,-1.6025758250659106,1.0
1752725933.0640302,1.23586,0.04106,1.2365418970661688,0.7634581029338312,-0.7953917146936718,1.0
1752725933.0951924,1.26779,0.04222,1.268492811371038,0.7315071886289619,-1.5975457152434647,1.0
1752725933.1261387,1.28348,0.04269,1.284189762651922,0.7158102373480779,-0.7848475640441999,1.0
1752725933.1565952,1.31505,0.04369,1.315775557836518,0.684224442163482,-1.579289759229796,1.0
1752725933.1876283,1.33092,0.04422,1.331654405166746,0.668345594833254,-0.793942366511402,1.0
1752725933.2177615,1.36236,0.04522,1.3631102736022498,0.6368897263977502,-1.572793421775187,1.0
1752725933.2493286,1.37806,0.04558,1.378813584209265,0.621186415790735,-0.7851655303507621,1.0
1752725933.2801452,1.40953,0.04624,1.4102882536914216,0.5897117463085784,-1.5737334741078302,1.0
1752725933.3113256,1.44134,0.04717,1.4421116477235734,0.5578883522764266,-1.5911697016075865,1.0
1752725933.3422427,1.45714,0.0476,1.457917260889657,0.5420827391103431,-0.7902806583041766,1.0
1752725933.3729029,1.48946,0.0486,1.4902526804538887,0.5097473195461113,-1.6167709782115902,1.0
1752725933.4040458,1.50552,0.04914,1.5063217484986398,0.49367825150136024,-0.8034534022375528,1.0
1752725933.4343112,1.53811,0.05013,1.53892670033371,0.46107329966629007,-1.6302475917535086,0.9896584899903742
1752725933.4649622,1.55456,0.05076,1.5553884952641253,0.44461150473587474,-0.8230897465207665,1.0
1752725933.495025,1.58692,0.05139,1.5877518756090323,0.4122481243909677,-1.6181690172453522,0.868803409252884
1752725933.5249038,1.60312,0.05164,1.6039515030074942,0.39604849699250577,-0.8099813699230962,0.9091231054889548
1752725933.555385,1.63542,0.05268,1.6362682417012195,0.36373175829878046,-1.6158369346862655,0.7477457022783246
1752725933.5861998,1.6514,0.05327,1.6522589545528268,0.3477410454471732,-0.7995356425803624,0.7893990493598968
1752725933.6175241,1.68327,0.05435,1.6841472071645045,0.3158527928354955,-1.5944126305838857,0.6301907190303502
1752725933.648314,1.69934,0.05479,1.7002230382217505,0.29977696177824953,-0.8037915528622985,0.669063249159394
1752725933.6792014,1.71514,0.05514,1.7160261184492502,0.28397388155074976,-0.7901540113749883,0.6309193027393756
1752725933.7099051,1.76175,0.05632,1.747382449751628,0.25261755024837207,-1.5678165651188847,0.4747622191090417
1752725933.7407243,1.77671,0.05686,1.7776196116436158,0.22238038835638418,-1.5118580945993942,0.40476516143102104
1752725933.7713804,1.80511,0.05772,1.8060325884379826,0.19396741156201736,-1.4206488397183414,0.34285364493320925
1752725933.8020918,1.81832,0.05827,1.8192534225060564,0.18074657749394363,-0.6610417034036864,0.38576227339449043
1752725933.8329034,1.84179,0.05891,1.8427318828847565,0.15726811711524347,-1.173923018935008,0.27577799089460786
1752725933.8628328,1.85135,0.05957,1.8523081297127646,0.1476918702872354,-0.4788123414004031,0.3213484415780482
1752725933.8933883,1.8657,0.06014,1.8666690412603943,0.13333095873960565,-0.7180455773814876,0.2615228391108654
1752725933.9240174,1.8716,0.06045,1.8725759697539643,0.12742403024603566,-0.2953464246784998,0.28902543314723916
1752725933.9547243,1.88178,0.06053,1.882753262990135,0.1172467370098651,-0.508864661808528,0.24223037634380995
1752725933.9858286,1.88605,0.06086,1.8870316749063858,0.11296832509361421,-0.21392059581254452,0.26102875315278107
1752725934.016678,1.89269,0.06112,1.893676606630604,0.10632339336939589,-0.33224658621091585,0.23258382480239814
1752725934.047012,1.89539,0.06109,1.896374235271087,0.10362576472891294,-0.1348814320241476,0.2455762686198676
1752725934.0780656,1.9004,0.06163,1.901399068291557,0.09860093170844308,-0.2512416510234927,0.22137816416875844
1752725934.1088345,1.90281,0.06163,1.9038078035873263,0.09619219641267374,-0.12043676478846743,0.2284368145528376
1752725934.1394043,1.90799,0.06197,1.9089961029294953,0.09100389707050471,-0.25941496710845113,0.20156824596541667
1752725934.1701555,1.91458,0.06165,1.9155723162804372,0.08442768371956277,-0.328810667547097,0.17818814254419724
1752725934.2006452,1.91869,0.06171,1.9196821195708418,0.08031788042915822,-0.20549016452022784,0.18024568462087276
1752725934.23123,1.92837,0.06188,1.929362586788704,0.07063741321129591,-0.4840233608931155,0.12819119693892822
1752725934.262167,1.93361,0.062,1.9346037403303034,0.06539625966969664,-0.2620576770799632,0.1372848814662453
1752725934.2930322,1.94449,0.06236,1.9454896889215323,0.05451031107846771,-0.5442974295614467,0.08184603474002461
1752725934.3236816,1.94968,0.06256,1.95068343305622,0.04931656694378006,-0.2596872067343825,0.0973226966860119
