tof,timestamp
508,2025-07-23 09:57:47.423485
505,2025-07-23 09:57:47.487278
504,2025-07-23 09:57:47.549674
505,2025-07-23 09:57:47.611482
505,2025-07-23 09:57:47.673915
505,2025-07-23 09:57:47.735441
502,2025-07-23 09:57:47.798657
504,2025-07-23 09:57:47.861375
508,2025-07-23 09:57:47.923878
505,2025-07-23 09:57:47.985886
508,2025-07-23 09:57:48.049565
508,2025-07-23 09:57:48.111299
506,2025-07-23 09:57:48.174808
505,2025-07-23 09:57:48.236220
506,2025-07-23 09:57:48.298608
506,2025-07-23 09:57:48.360317
507,2025-07-23 09:57:48.421033
508,2025-07-23 09:57:48.482701
507,2025-07-23 09:57:48.546376
506,2025-07-23 09:57:48.608467
507,2025-07-23 09:57:48.670430
506,2025-07-23 09:57:48.732086
505,2025-07-23 09:57:48.794665
506,2025-07-23 09:57:48.857623
504,2025-07-23 09:57:48.919450
504,2025-07-23 09:57:48.981763
504,2025-07-23 09:57:49.043536
504,2025-07-23 09:57:49.106603
504,2025-07-23 09:57:49.167275
502,2025-07-23 09:57:49.228633
505,2025-07-23 09:57:49.291194
506,2025-07-23 09:57:49.351682
506,2025-07-23 09:57:49.413964
504,2025-07-23 09:57:49.474632
503,2025-07-23 09:57:49.537538
502,2025-07-23 09:57:49.599030
501,2025-07-23 09:57:49.660889
502,2025-07-23 09:57:49.722488
504,2025-07-23 09:57:49.785202
504,2025-07-23 09:57:49.847437
505,2025-07-23 09:57:49.909525
504,2025-07-23 09:57:49.971235
503,2025-07-23 09:57:50.032923
501,2025-07-23 09:57:50.095314
501,2025-07-23 09:57:50.157460
501,2025-07-23 09:57:50.219182
503,2025-07-23 09:57:50.281509
500,2025-07-23 09:57:50.343030
501,2025-07-23 09:57:50.406722
500,2025-07-23 09:57:50.469925
499,2025-07-23 09:57:50.531829
500,2025-07-23 09:57:50.594177
500,2025-07-23 09:57:50.655645
500,2025-07-23 09:57:50.717383
499,2025-07-23 09:57:50.778223
499,2025-07-23 09:57:50.840115
499,2025-07-23 09:57:50.901589
499,2025-07-23 09:57:50.963645
500,2025-07-23 09:57:51.026452
503,2025-07-23 09:57:51.088575
502,2025-07-23 09:57:51.151333
502,2025-07-23 09:57:51.213381
502,2025-07-23 09:57:51.276172
502,2025-07-23 09:57:51.337431
502,2025-07-23 09:57:51.399945
502,2025-07-23 09:57:51.463573
500,2025-07-23 09:57:51.524921
500,2025-07-23 09:57:51.586666
498,2025-07-23 09:57:51.648553
497,2025-07-23 09:57:51.709546
498,2025-07-23 09:57:51.771509
498,2025-07-23 09:57:51.834261
497,2025-07-23 09:57:51.897710
496,2025-07-23 09:57:51.959724
497,2025-07-23 09:57:52.022829
497,2025-07-23 09:57:52.085153
494,2025-07-23 09:57:52.146773
494,2025-07-23 09:57:52.209362
494,2025-07-23 09:57:52.270910
494,2025-07-23 09:57:52.334248
494,2025-07-23 09:57:52.396290
495,2025-07-23 09:57:52.458949
495,2025-07-23 09:57:52.522229
497,2025-07-23 09:57:52.583737
495,2025-07-23 09:57:52.645744
494,2025-07-23 09:57:52.706987
495,2025-07-23 09:57:52.768249
496,2025-07-23 09:57:52.829740
497,2025-07-23 09:57:52.891517
497,2025-07-23 09:57:52.952797
499,2025-07-23 09:57:53.015293
500,2025-07-23 09:57:53.076738
498,2025-07-23 09:57:53.139405
497,2025-07-23 09:57:53.201132
494,2025-07-23 09:57:53.262559
493,2025-07-23 09:57:53.324495
494,2025-07-23 09:57:53.387018
494,2025-07-23 09:57:53.448525
497,2025-07-23 09:57:53.510238
499,2025-07-23 09:57:53.571611
496,2025-07-23 09:57:53.634051
497,2025-07-23 09:57:53.695465
496,2025-07-23 09:57:53.757857
496,2025-07-23 09:57:53.821131
496,2025-07-23 09:57:53.883258
496,2025-07-23 09:57:53.945843
497,2025-07-23 09:57:54.008998
497,2025-07-23 09:57:54.070495
495,2025-07-23 09:57:54.132221
496,2025-07-23 09:57:54.194760
493,2025-07-23 09:57:54.257020
494,2025-07-23 09:57:54.319082
493,2025-07-23 09:57:54.380043
493,2025-07-23 09:57:54.440788
494,2025-07-23 09:57:54.502958
495,2025-07-23 09:57:54.564794
494,2025-07-23 09:57:54.626115
496,2025-07-23 09:57:54.689214
496,2025-07-23 09:57:54.750705
497,2025-07-23 09:57:54.813189
496,2025-07-23 09:57:54.875523
495,2025-07-23 09:57:54.937578
494,2025-07-23 09:57:54.999168
491,2025-07-23 09:57:55.061806
493,2025-07-23 09:57:55.124147
494,2025-07-23 09:57:55.186533
494,2025-07-23 09:57:55.248511
494,2025-07-23 09:57:55.310884
494,2025-07-23 09:57:55.371472
497,2025-07-23 09:57:55.432489
496,2025-07-23 09:57:55.493669
494,2025-07-23 09:57:55.555889
496,2025-07-23 09:57:55.617541
495,2025-07-23 09:57:55.679746
496,2025-07-23 09:57:55.741458
496,2025-07-23 09:57:55.803494
494,2025-07-23 09:57:55.866313
498,2025-07-23 09:57:55.928593
496,2025-07-23 09:57:55.990760
498,2025-07-23 09:57:56.053499
497,2025-07-23 09:57:56.115315
494,2025-07-23 09:57:56.177153
497,2025-07-23 09:57:56.239520
496,2025-07-23 09:57:56.300600
498,2025-07-23 09:57:56.363192
498,2025-07-23 09:57:56.425170
496,2025-07-23 09:57:56.486941
497,2025-07-23 09:57:56.549154
496,2025-07-23 09:57:56.610047
494,2025-07-23 09:57:56.671459
495,2025-07-23 09:57:56.733710
494,2025-07-23 09:57:56.796631
495,2025-07-23 09:57:56.858792
495,2025-07-23 09:57:56.920116
495,2025-07-23 09:57:56.982741
494,2025-07-23 09:57:57.044005
493,2025-07-23 09:57:57.104457
492,2025-07-23 09:57:57.166700
486,2025-07-23 09:57:57.228382
484,2025-07-23 09:57:57.290709
484,2025-07-23 09:57:57.352642
481,2025-07-23 09:57:57.414535
481,2025-07-23 09:57:57.477417
489,2025-07-23 09:57:57.539537
489,2025-07-23 09:57:57.601433
480,2025-07-23 09:57:57.663108
488,2025-07-23 09:57:57.726064
481,2025-07-23 09:57:57.787698
481,2025-07-23 09:57:57.849914
491,2025-07-23 09:57:57.910722
478,2025-07-23 09:57:57.972140
487,2025-07-23 09:57:58.034493
486,2025-07-23 09:57:58.097972
484,2025-07-23 09:57:58.160520
473,2025-07-23 09:57:58.222788
470,2025-07-23 09:57:58.284568
472,2025-07-23 09:57:58.346282
475,2025-07-23 09:57:58.408157
472,2025-07-23 09:57:58.471629
472,2025-07-23 09:57:58.533519
470,2025-07-23 09:57:58.595787
468,2025-07-23 09:57:58.656415
468,2025-07-23 09:57:58.717638
470,2025-07-23 09:57:58.781147
471,2025-07-23 09:57:58.843102
471,2025-07-23 09:57:58.905377
474,2025-07-23 09:57:58.966880
477,2025-07-23 09:57:59.027485
477,2025-07-23 09:57:59.088355
478,2025-07-23 09:57:59.150627
477,2025-07-23 09:57:59.212137
479,2025-07-23 09:57:59.274241
478,2025-07-23 09:57:59.336059
