angle,tof,timestamp
0,1398,2025-07-23 10:17:55.577433
0,2607,2025-07-23 10:17:55.639318
0,2642,2025-07-23 10:17:55.700954
0,2635,2025-07-23 10:17:55.764084
0,2334,2025-07-23 10:17:55.827799
0,789,2025-07-23 10:17:55.890066
0,562,2025-07-23 10:17:55.952716
0,533,2025-07-23 10:17:56.014821
0,529,2025-07-23 10:17:56.076247
0,543,2025-07-23 10:17:56.138583
0,1381,2025-07-23 10:17:56.200144
0,2641,2025-07-23 10:17:56.262127
0,2654,2025-07-23 10:17:56.323602
0,2658,2025-07-23 10:17:56.385158
0,2656,2025-07-23 10:17:56.445812
0,2659,2025-07-23 10:17:56.508752
0,2653,2025-07-23 10:17:56.570231
0,2636,2025-07-23 10:17:56.631700
0,772,2025-07-23 10:17:56.694061
0,539,2025-07-23 10:17:56.756341
0,533,2025-07-23 10:17:56.818778
0,539,2025-07-23 10:17:56.882630
0,641,2025-07-23 10:17:56.944014
0,2591,2025-07-23 10:17:57.006221
0,2624,2025-07-23 10:17:57.070393
0,2624,2025-07-23 10:17:57.131273
0,2121,2025-07-23 10:17:57.193840
0,577,2025-07-23 10:17:57.256431
0,553,2025-07-23 10:17:57.317947
0,541,2025-07-23 10:17:57.380050
0,535,2025-07-23 10:17:57.442673
0,578,2025-07-23 10:17:57.505088
0,2646,2025-07-23 10:17:57.565694
0,2646,2025-07-23 10:17:57.627177
0,2661,2025-07-23 10:17:57.689815
0,2656,2025-07-23 10:17:57.751408
0,2662,2025-07-23 10:17:57.812720
0,2669,2025-07-23 10:17:57.875293
0,2656,2025-07-23 10:17:57.937485
0,2660,2025-07-23 10:17:57.999633
0,2660,2025-07-23 10:17:58.062257
0,595,2025-07-23 10:17:58.124962
0,534,2025-07-23 10:17:58.186612
0,544,2025-07-23 10:17:58.249059
0,573,2025-07-23 10:17:58.311305
0,2429,2025-07-23 10:17:58.372869
0,2632,2025-07-23 10:17:58.435105
0,2651,2025-07-23 10:17:58.497958
0,2648,2025-07-23 10:17:58.561894
0,2643,2025-07-23 10:17:58.622774
