timestamp,action,target_dist,current_x,current_y,current_dist,error_x,output_x,error_y,output_y,target_angle,current_yaw,error_angle,output_z
1754558873.4682436,turn,,0.56344,-0.13483,,,,,,76.55,10.9,65.64999999999999,80.0
1754558873.4990473,turn,,0.56349,-0.13465,,,,,,76.55,13.88,62.669999999999995,80.0
1754558873.5300994,turn,,0.56367,-0.13434,,,,,,76.55,15.44,61.11,80.0
1754558873.5611155,turn,,0.56427,-0.13392,,,,,,76.55,18.45,58.099999999999994,80.0
1754558873.5911932,turn,,0.56447,-0.1337,,,,,,76.55,19.98,56.56999999999999,80.0
1754558873.6217642,turn,,0.56504,-0.13303,,,,,,76.55,23.18,53.37,80.0
1754558873.6531522,turn,,0.56534,-0.13268,,,,,,76.55,24.72,51.83,80.0
1754558873.683851,turn,,0.56593,-0.1322,,,,,,76.55,27.79,48.76,80.0
1754558873.7150671,turn,,0.56633,-0.13196,,,,,,76.55,29.36,47.19,80.0
1754558873.74604,turn,,0.56681,-0.13185,,,,,,76.55,32.5,44.05,80.0
1754558873.7761533,turn,,0.56686,-0.13192,,,,,,76.55,34.05,42.5,80.0
1754558873.8071575,turn,,0.56711,-0.13193,,,,,,76.55,37.31,39.239999999999995,80.0
1754558873.8377557,turn,,0.56711,-0.13193,,,,,,76.55,37.31,39.239999999999995,80.0
1754558873.868874,turn,,0.56738,-0.13215,,,,,,76.55,41.97,34.58,71.47493361936867
1754558873.8998153,turn,,0.56752,-0.13196,,,,,,76.55,41.97,34.58,80.0
1754558873.9312792,turn,,0.56749,-0.13208,,,,,,76.55,46.77,29.779999999999994,59.194402700634214
1754558873.9618018,turn,,0.56737,-0.13167,,,,,,76.55,49.64,26.909999999999997,57.87212665890752
1754558873.9922054,turn,,0.5672,-0.13142,,,,,,76.55,51.19,25.36,58.301921864462614
1754558874.0224216,turn,,0.56737,-0.1314,,,,,,76.55,53.95,22.599999999999994,47.365832091907556
1754558874.0533915,turn,,0.56714,-0.13091,,,,,,76.55,54.99,21.559999999999995,50.54189614848687
1754558874.084536,turn,,0.56687,-0.1301,,,,,,76.55,57.37,19.18,40.30823048304373
1754558874.1157095,turn,,0.56679,-0.12999,,,,,,76.55,58.48,18.07,41.61427966898915
1754558874.1461391,turn,,0.56637,-0.12924,,,,,,76.55,60.62,15.93,32.79237425860489
1754558874.1766865,turn,,0.56632,-0.12888,,,,,,76.55,61.56,14.989999999999995,34.397813065365824
1754558874.2072651,turn,,0.5661,-0.12792,,,,,,76.55,63.29,13.259999999999998,27.49245109780439
1754558874.2380211,turn,,0.56602,-0.12768,,,,,,76.55,64.17,12.379999999999995,28.088769364341065
1754558874.2684503,turn,,0.56591,-0.12777,,,,,,76.55,65.73,10.819999999999993,21.92333267517568
1754558874.2989683,turn,,0.56587,-0.12787,,,,,,76.55,66.52,10.030000000000001,22.486368447368037
1754558874.3298402,turn,,0.56587,-0.12785,,,,,,76.55,67.74,8.810000000000002,18.07318213552045
1754558874.3608143,turn,,0.56583,-0.12774,,,,,,76.55,68.89,7.659999999999997,15.437226571219616
1754558874.3908818,turn,,0.56579,-0.12766,,,,,,76.55,69.39,7.159999999999997,16.237071809185476
